Num,식품코드,,,FoodName,,,,Category,ServingSize,,Kcal,,,,Protein,Fat,Carbo,,,,,,,,,,,,,,,,,,,,,Natrium
1,D00001,,,가자미구이,,,,구이류,200,,314,,,,43.2,14.2,3.5,,,,,,,,,,,,,,,,,,,,,1331.18
2,D00002,,,갈치구이,,,,구이류,250,,481.317,,,,61.992,25.771,0.354,,,,,,,,,,,,,,,,,,,,,1022.031
3,D00003,,,고등어구이,,,,구이류,250,,667.869,,,,59.246,47.177,1.855,,,,,,,,,,,,,,,,,,,,,1227.73
4,D00004,,,굴비구이,,,,구이류,150,,289,,,,34.5,16.5,1.5,,,,,,,,,,,,,,,,,,,,,1110.17
5,D00005,,,꽁치구이,,,,구이류,100,,299,,,,22.2,22.9,1,,,,,,,,,,,,,,,,,,,,,340.73
6,D00006,,,꿩불고기,,,,구이류,500,,368.8,,,,33.5,8.5,39.7,,,,,,,,,,,,,,,,,,,,,1264.31
7,D00007,,,닭갈비,,,,구이류,400,,595.61,,,,45.9,25.8,44.9,,,,,,,,,,,,,,,,,,,,,1535.83
8,D00008,,,닭갈비,,,,구이류,300,,558.47,,,,45.5,31.6,23.1,,,,,,,,,,,,,,,,,,,,,1016.94
9,D00009,,,닭꼬치,,,,구이류,70,,176.723,,,,11.562,8.565,13.348,,,,,,,,,,,,,,,,,,,,,286.911
10,D00010,,,더덕구이,,,,구이류,100,,184,,,,3.1,5.2,31.1,,,,,,,,,,,,,,,,,,,,,743.37
11,D00011,,,도미구이,,,,구이류,250,,397,,,,61.1,16.5,2.1,,,,,,,,,,,,,,,,,,,,,1582.17
12,D00012,,,돼지갈비,,,,구이류,100,,240.32,,,,19.5,14.4,8.1,,,,,,,,,,,,,,,,,,,,,404.66
13,D00013,,,돼지갈비구이,,,,구이류,350,,941.379,,,,72.696,59.367,29.072,,,,,,,,,,,,,,,,,,,,,1341.591
14,D00014,,,떡갈비,,,,구이류,250,,761.667,,,,50.763,51.594,23.569,,,,,,,,,,,,,,,,,,,,,827.359
15,D00015,,,병어구이,,,,구이류,250,,488,,,,54.6,30.8,0.2,,,,,,,,,,,,,,,,,,,,,1567.94
16,D00016,,,불고기,,,,구이류,150,,395.29,,,,34.4,25.2,7.8,,,,,,,,,,,,,,,,,,,,,560.71
17,D00017,,,붕장어소금구이,,,,구이류,100,,296.54,,,,26,16.2,11.6,,,,,,,,,,,,,,,,,,,,,124.75
18,D00018,,,소곱창구이,,,,구이류,150,,640,,,,16.7,61.3,5.5,,,,,,,,,,,,,,,,,,,,,315.86
19,D00019,,,소불고기,,,,구이류,200,,176.71,,,,12.754,5.834,18.296,,,,,,,,,,,,,,,,,,,,,892.089
20,D00020,,,소양념갈비구이,,,,구이류,300,,989.15,,,,60.1,71.6,26.2,,,,,,,,,,,,,,,,,,,,,1378.45
21,D00021,,,양념왕갈비,,,,구이류,150,,480.81,,,,27.1,35.3,13.7,,,,,,,,,,,,,,,,,,,,,548.76
22,D00022,,,양념장어구이,,,,구이류,150,,433.352,,,,30.771,30.561,8.804,,,,,,,,,,,,,,,,,,,,,704.637
23,D00023,,,임연수구이,,,,구이류,250,,494,,,,53.8,29.4,3.5,,,,,,,,,,,,,,,,,,,,,1568.96
